brand,model,nozzle,radius_m,flow_m3h,precip_mmhr,pressure_bar,arc_options,efficiency
Rain Bird,5004,1.0,4.6,0.08,12.0,3.0,"90,180,270,360",standard
Rain Bird,5004,1.5,5.5,0.11,14.0,3.0,"90,180,270,360",standard
Rain Bird,5004,2.0,6.4,0.15,15.0,3.0,"90,180,270,360",standard
Rain Bird,5004,3.0,7.6,0.23,16.0,3.0,"90,180,270,360",standard
Rain Bird,5004,4.0,8.5,0.32,18.0,3.0,"90,180,270,360",standard
Rain Bird,5004,5.0,9.4,0.42,19.0,3.0,"90,180,270,360",standard
Rain Bird,5004,6.0,10.4,0.53,20.0,3.0,"90,180,270,360",standard
Rain Bird,5004,8.0,11.3,0.76,24.0,3.0,"90,180,270,360",standard
Rain Bird,5004,HE-VAN-08,2.4,0.04,10.0,2.1,"90,180,270,360",high
Rain Bird,5004,HE-VAN-10,3.0,0.05,10.0,2.1,"90,180,270,360",high
Rain Bird,5004,HE-VAN-12,3.7,0.06,10.0,2.1,"90,180,270,360",high
Rain Bird,5004,HE-VAN-15,4.6,0.08,10.0,2.1,"90,180,270,360",high
Rain Bird,3504,0.5,3.0,0.05,11.0,2.8,"90,180,270,360",standard
Rain Bird,3504,1.0,4.0,0.07,12.0,2.8,"90,180,270,360",standard
Rain Bird,3504,1.5,4.9,0.10,14.0,2.8,"90,180,270,360",standard
Rain Bird,3504,2.0,5.8,0.14,15.0,2.8,"90,180,270,360",standard
Rain Bird,R-VAN,14,3.4,0.06,10.0,2.1,"90,180,270,360",high
Rain Bird,R-VAN,18,4.8,0.08,10.0,2.1,"90,180,270,360",high
Rain Bird,R-VAN,24,6.4,0.11,10.0,2.1,"90,180,270,360",high
Rain Bird,1804,4VAN,1.2,0.02,35.0,2.1,"90,180,270,360",standard
Rain Bird,1804,6VAN,1.8,0.03,35.0,2.1,"90,180,270,360",standard
Rain Bird,1804,8VAN,2.4,0.05,38.0,2.1,"90,180,270,360",standard
Rain Bird,1804,10VAN,3.0,0.07,40.0,2.1,"90,180,270,360",standard
Rain Bird,1804,12VAN,3.7,0.10,42.0,2.1,"90,180,270,360",standard
Rain Bird,1804,15VAN,4.6,0.14,45.0,2.1,"90,180,270,360",standard
Rain Bird,1804,4A,1.2,0.02,38.0,2.1,"360",standard
Rain Bird,1804,6A,1.8,0.03,40.0,2.1,"360",standard
Rain Bird,1804,8A,2.4,0.05,42.0,2.1,"360",standard
Rain Bird,1804,10A,3.0,0.08,44.0,2.1,"360",standard
Rain Bird,1804,12A,3.7,0.11,46.0,2.1,"360",standard
Rain Bird,1804,15A,4.6,0.15,48.0,2.1,"360",standard
Rain Bird,1804,4Q,1.2,0.005,38.0,2.1,"90",standard
Rain Bird,1804,6Q,1.8,0.008,40.0,2.1,"90",standard
Rain Bird,1804,8Q,2.4,0.013,42.0,2.1,"90",standard
Rain Bird,1804,4H,1.2,0.01,38.0,2.1,"180",standard
Rain Bird,1804,6H,1.8,0.015,40.0,2.1,"180",standard
Rain Bird,1804,8H,2.4,0.025,42.0,2.1,"180",standard
Rain Bird,5000,1.0,4.6,0.08,12.0,3.0,"90,180,270,360",standard
Rain Bird,5000,2.0,6.4,0.15,15.0,3.0,"90,180,270,360",standard
Rain Bird,5000,3.0,7.6,0.23,16.0,3.0,"90,180,270,360",standard
Rain Bird,5000,4.0,8.5,0.32,18.0,3.0,"90,180,270,360",standard
Rain Bird,5000,6.0,10.4,0.53,20.0,3.0,"90,180,270,360",standard
Rain Bird,6504,0.75,10.1,0.36,14.0,3.5,"90,180,270,360",standard
Rain Bird,6504,1.0,11.6,0.48,15.0,3.5,"90,180,270,360",standard
Rain Bird,6504,1.5,13.1,0.63,16.0,3.5,"90,180,270,360",standard
Rain Bird,6504,2.0,14.3,0.80,17.0,3.5,"90,180,270,360",standard
Rain Bird,8005,0.75,12.2,0.57,15.0,4.1,"90,180,270,360",standard
Rain Bird,8005,1.0,14.0,0.76,16.0,4.1,"90,180,270,360",standard
Rain Bird,8005,1.5,15.2,0.95,17.0,4.1,"90,180,270,360",standard
Rain Bird,8005,2.0,16.8,1.14,18.0,4.1,"90,180,270,360",standard


